,,spre1,spre2,spre3,spre4,spre5,spre6
"Wetter (Ruhr)",spost1,0,0,1,0,0,0
"Wetter (Ruhr)",spost2,0,0,0,0,0,0
"Wetter (Ruhr)",spost3,0,0,0,0,0,0
"Wetter (Ruhr)",spost4,0,0,0,0,0,0
"Wetter (Ruhr)",spost5,0,0,0,0,0,0
"Wetter (Ruhr)",spost6,0,0,0,0,0,0
"Wetter (Ruhr)",spost7,0,0,0,0,0,0
"Wetter (Ruhr)",spost8,0,0,0,0,0,0
"Wetter (Ruhr)",spost9,0,0,0,0,0,0
"Wetter (Ruhr)",spost10,0,0,0,0,0,0
"Wetter (Ruhr)",spost11,0,0,0,0,0,0
"Wetter (Ruhr)",spost12,0,0,0,0,0,0
"Wetter (Ruhr)",spost13,0,0,0,0,0,0
"Wetter (Ruhr)",spost14,0,0,0,0,0,0
"Wetter (Ruhr)",spost15,0,0,0,0,0,0
"Wetter (Ruhr)",spost16,0,0,0,0,0,0
"Wetter (Ruhr)",spost17,0,0,0,0,0,0
"Wetter (Ruhr)",spost18,0,0,0,0,0,0
"Wetter (Ruhr)",spost19,0,0,0,0,0,0
"Wetter (Ruhr)",spost20,0,0,0,0,0,0
"Wetter (Ruhr)",spost21,0,0,0,0,0,0
"Wetter (Ruhr)",spost22,0,0,0,0,0,0
"Wetter (Ruhr)",spost23,0,0,0,0,0,0
"Wetter (Ruhr)",spost24,0,0,0,0,0,0
"Wetter (Ruhr)",spost25,0,0,0,0,0,0
"Wetter (Ruhr)",spost26,0,0,0,0,0,0
"Wetter (Ruhr)",spost27,0,0,0,0,0,0
"Wetter (Ruhr)",spost28,0,0,0,0,0,0
"Wetter (Ruhr)",spost29,0,0,0,0,0,0
"Wetter (Ruhr)",spost30,0,0,0,0,0,0
"Wetter (Ruhr)",spost31,0,0,0,0,0,0
"Wetter (Ruhr)",spost32,0,0,0,0,0,0
"Wetter (Ruhr)",spost33,0,0,0,0,0,0
"Wetter (Ruhr)",spost34,0,0,0,0,0,0
"Wetter (Ruhr)",spost35,0,0,0,0,0,0
"Wetter (Ruhr)",spost36,0,0,0,0,0,0
"Wetter (Ruhr)",spost37,0,0,0,0,0,0
"Wetter (Ruhr)",spost38,0,0,0,0,0,0
"Wetter (Ruhr)",spost39,0,0,0,0,0,0
"Wetter (Ruhr)",spost40,0,0,0,0,0,0
"Wetter (Ruhr)",spost41,0,0,0,0,0,0
"Wetter (Ruhr)",spost42,0,0,0,0,0,0
"Wetter (Ruhr)",spost43,0,0,0,0,0,0
"Wetter (Ruhr)",spost44,0,0,0,0,0,0
"Wetter (Ruhr)",spost45,0,0,0,0,0,0
"Wetter (Ruhr)",spost46,0,0,0,0,0,0
"Wetter (Ruhr)",spost47,0,0,0,0,0,0
"Wetter (Ruhr)",spost48,0,0,0,0,0,0
"Wetter (Ruhr)",spost49,0,0,0,0,0,0
"Wetter (Ruhr)",spost50,0,0,0,0,0,0
"Wetter (Ruhr)",spost51,0,0,0,0,0,0
"Wetter (Ruhr)",spost52,0,0,0,0,0,0
"Wetter (Ruhr)",spost53,0,0,0,0,0,0
"Wetter (Ruhr)",spost54,0,0,0,0,0,0
"Wetter (Ruhr)",spost55,0,0,0,0,0,0
Elsdorf,spost1,1,0,0,0,0,0
Elsdorf,spost2,0,0,0,0,0,0
Elsdorf,spost3,0,0,0,0,0,0
Elsdorf,spost4,0,0,0,0,0,0
Elsdorf,spost5,0,0,0,0,0,0
Elsdorf,spost6,0,0,0,0,0,0
Elsdorf,spost7,0,0,0,0,0,0
Elsdorf,spost8,0,0,0,0,0,0
Elsdorf,spost9,0,0,0,0,0,0
Elsdorf,spost10,0,0,0,0,0,0
Elsdorf,spost11,0,0,0,0,0,0
Elsdorf,spost12,0,0,0,0,0,0
Elsdorf,spost13,0,0,0,0,0,0
Elsdorf,spost14,0,0,0,0,0,0
Elsdorf,spost15,0,0,0,0,0,0
Elsdorf,spost16,0,0,0,0,0,0
Elsdorf,spost17,0,0,0,0,0,0
Elsdorf,spost18,0,0,0,0,0,0
Elsdorf,spost19,0,0,0,0,0,0
Elsdorf,spost20,0,0,0,0,0,0
Elsdorf,spost21,0,0,0,0,0,0
Elsdorf,spost22,0,0,0,0,0,0
Elsdorf,spost23,0,0,0,0,0,0
Elsdorf,spost24,0,0,0,0,0,0
Elsdorf,spost25,0,0,0,0,0,0
Elsdorf,spost26,0,0,0,0,0,0
Elsdorf,spost27,0,0,0,0,0,0
Elsdorf,spost28,0,0,0,0,0,0
Elsdorf,spost29,0,0,0,0,0,0
Elsdorf,spost30,0,0,0,0,0,0
Elsdorf,spost31,0,0,0,0,0,0
Elsdorf,spost32,0,0,0,0,0,0
Elsdorf,spost33,0,0,0,0,0,0
Elsdorf,spost34,0,0,0,0,0,0
Elsdorf,spost35,0,0,0,0,0,0
Elsdorf,spost36,0,0,0,0,0,0
Elsdorf,spost37,0,0,0,0,0,0
Elsdorf,spost38,0,0,0,0,0,0
Elsdorf,spost39,0,0,0,0,0,0
Elsdorf,spost40,0,0,0,0,0,0
Elsdorf,spost41,0,0,0,0,0,0
Elsdorf,spost42,0,0,0,0,0,0
Elsdorf,spost43,0,0,0,0,0,0
Elsdorf,spost44,0,0,0,0,0,0
